group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.11336957085904029,0.28143367303202416,0.06981338807330689,0.01535518220544284,0.15316962380432916,error_log_scale_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.11129306149930107,0.07451647117297105,0.10111174982075904,0.024836143273078065,0.20695467228127307,error_log_scale_squared
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.1797303296829445,0.12500184642163867,0.1743101497463122,0.08787248931318624,0.22608068368200618,error_log_scale_squared
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.2009176404816435,1.1432294784640864,0.04079919870487228,0.016878625075893074,0.1292509545520186,error_latent
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.062483997130411674,0.08587108556143488,0.034883906835841846,0.012509589173726873,0.14396469887259952,error_latent
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.013688607171516941,0.011800135318965274,0.009868122051425942,0.0048552238225514485,0.027059719378815433,error_latent
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.11691019168182205,0.96418366051383,0.008943390292967686,0.00729116273751809,0.010105328105686534,error_latent_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.01290243670541074,0.017869020176549937,0.009233242814568773,0.006284212228875751,0.015153874276937436,error_latent_squared
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.00877758788478673,0.011944064901150079,0.005396566272474274,0.00302285430355303,0.014697953104748846,error_latent_squared
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.22213406501244265,1.1406799691064953,0.06036585112613387,0.029805865094926453,0.16530038174576045,error_param
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.15583471642472296,0.11365799824419427,0.14112696622732165,0.02421706794298945,0.3070224622711049,error_param
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.23027651797415521,0.18055297564006054,0.22548996903195878,0.10941623003267094,0.2848352670261614,error_param
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.1833854131316584,0.9610685859172177,0.06981338807330689,0.01543731032376883,0.15316962380432916,error_param_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=1,drhmc,,0.11287853237989472,0.07337442261850044,0.10372091991171106,0.03163965200200664,0.20695467228127307,error_param_squared
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.1797303296829445,0.12500184642163867,0.1743101497463122,0.08787248931318624,0.22608068368200618,error_param_squared
group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.07298059611692392,0.1345215176872231,0.0433594466225944,0.009358843671350354,0.13190952765985728,error_log_scale
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,drhmc,,0.1720062579912246,0.13467446793585203,0.14827551546147028,0.02357855458902992,0.34883903806627564,error_log_scale
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.2296594005627343,0.1811502043159537,0.22548996903195878,0.10941623003267094,0.2848352670261614,error_log_scale
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.11336957085904029,0.28143367303202416,0.06981338807330689,0.01535518220544284,0.15316962380432916,error_log_scale_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,drhmc,,0.10517079363304736,0.0844864070237683,0.09459617267535725,0.021859804501249934,0.20001546496852013,error_log_scale_squared
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.1797303296829445,0.12500184642163867,0.1743101497463122,0.08787248931318624,0.22608068368200618,error_log_scale_squared
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.2009176404816435,1.1432294784640864,0.04079919870487228,0.016878625075893074,0.1292509545520186,error_latent
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,drhmc,,0.05995203645866194,0.14020649782791397,0.03553042136626286,0.012052291282834028,0.08274997439961976,error_latent
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.013688607171516941,0.011800135318965274,0.009868122051425942,0.0048552238225514485,0.027059719378815433,error_latent
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.11691019168182205,0.96418366051383,0.008943390292967686,0.00729116273751809,0.010105328105686534,error_latent_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,drhmc,,0.01878502237848717,0.06363735307377062,0.008906447858261713,0.005730348028058239,0.011348745287749137,error_latent_squared
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.00877758788478673,0.011944064901150079,0.005396566272474274,0.00302285430355303,0.014697953104748846,error_latent_squared
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.22213406501244265,1.1406799691064953,0.06036585112613387,0.029805865094926453,0.16530038174576045,error_param
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,drhmc,,0.19081459054776778,0.17453867542453214,0.14858453775281208,0.03750860525427713,0.3659894229626109,error_param
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.23027651797415521,0.18055297564006054,0.22548996903195878,0.10941623003267094,0.2848352670261614,error_param
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.1833854131316584,0.9610685859172177,0.06981338807330689,0.01543731032376883,0.15316962380432916,error_param_squared
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,drhmc,,0.10670818142998416,0.08687238944403593,0.09459617267535725,0.021859804501249934,0.20310237618718796,error_param_squared
adapt_metric=False__metric=identity__sampler_type=nuts,nuts,,0.1797303296829445,0.12500184642163867,0.1743101497463122,0.08787248931318624,0.22608068368200618,error_param_squared
group,sampler_type,literal,mean,std,median,10,90,error
adapt_metric=False__damping=0.08__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drghmc__step_count_method=const_step_count__step_size_factor=2,drghmc,,0.0584889335394982,0.04382179562143332,0.050313263907820815,0.014325228824763349,0.10511961924590003,error_log_scale
adapt_metric=False__damping=1.0__max_proposals=3__metric=1__probabilistic=False__reduction_factor=4__sampler_type=drhmc__step_count_factor=0.9__step_size_factor=2,drhmc,,0.16737003306078702,0.13724880730163258,0.13028500567136675,0.03106693576878646,0.34736396501408145,error_log_scale
